Solution_ID,Total_Cost,Cost_Change_vs_Baseline_%,Weighted_Task_Completion_%,Completion_Improvement_vs_Baseline_%,Low_Importance_Completion_%,Med_Importance_Completion_%,High_Importance_Completion_%,Min_Completion_Across_Types_%,Max_Completion_Across_Types_%,Completion_Balance_StdDev,Meets_min%_Constraint,Total_Failures,Total_Maintenance,Threshold_Low_Importance,Threshold_Med_Importance,Threshold_High_Importance
56,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.342242250700187,9.372170834668838,9.945223618664581
57,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.185778938623361,9.179059247179135,9.023025308522572
58,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.102105690181396,9.452893752906789,9.945227701535305
59,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.79510846727491,9.063432336333795,9.18361424623519
60,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.617622462737545,9.818182235636955,9.86373511326861
61,5080000.0,84.72727272727273,96.69712070874861,54.06297191180916,94.2929292929293,97.5,97.27941176470588,94.2929292929293,97.5,1.4626095113388526,True,16,100,1.3796476648514417,8.686984932199879,8.963727798414592
62,2824000.0,2.690909090909091,54.90905735091786,12.274908553978406,79.7979797979798,82.72727272727273,80.14705882352942,79.7979797979798,82.72727272727273,1.3063995058835272,False,93,7,7.711153467924607,8.993467917411511,9.959131250800132
63,2824000.0,2.690909090909091,54.90905735091786,12.274908553978406,79.7979797979798,82.72727272727273,80.14705882352942,79.7979797979798,82.72727272727273,1.3063995058835272,False,93,7,9.238396160201766,8.991944122720618,9.2856474022675
64,3328000.0,21.01818181818182,62.93832649338803,20.304177696448576,89.8989898989899,81.6919191919192,80.95588235294117,80.95588235294117,89.8989898989899,4.053488653813929,False,81,19,6.767781171185902,9.568258084663636,9.950119471415876
65,3328000.0,21.01818181818182,62.93832649338803,20.304177696448576,89.8989898989899,81.6919191919192,80.95588235294117,80.95588235294117,89.8989898989899,4.053488653813929,False,81,19,6.5939435465226595,9.202197116016777,9.6215079275208
